,1,2,3,4,5,6,7,8
count,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
mean,206.24017641964812,214.23986537169174,217.9729626021623,220.80655968206705,222.92906939800594,224.62514115888007,226.00576794943123,227.2312235849363
std,29.004205089816544,27.5909987439594,27.332739811761616,27.286776167962305,27.202628425099352,27.220911891834394,27.297941079433798,27.377798960150347
min,120.5755386352539,144.3612060546875,146.06942749023438,152.25833129882812,153.3546142578125,154.9893341064453,155.130126953125,157.53237915039062
25%,186.4921875,195.40570068359375,199.56393432617188,202.64874267578125,204.36294555664062,206.1023406982422,207.45877075195312,209.09188842773438
50%,204.29971313476562,212.0904998779297,216.0565185546875,219.49481201171875,221.61013793945312,224.01898193359375,225.39163208007812,226.59841918945312
75%,224.3472442626953,231.00656127929688,234.9788818359375,237.2352752685547,239.5614471435547,241.1015625,242.5421600341797,244.49676513671875
max,525.830810546875,532.6806640625,536.6065063476562,540.9183349609375,541.2807006835938,544.6756591796875,545.9633178710938,546.30517578125
