,1,2
0,181.2568359375,187.2371826171875
1,191.736572265625,193.019287109375
2,209.19163513183594,213.67221069335938
3,162.23712158203125,164.6590118408203
4,193.103271484375,198.9531707763672
5,204.16229248046875,204.5124053955078
6,180.6106414794922,185.40017700195312
7,266.24737548828125,284.8908996582031
8,230.61376953125,236.4357452392578
9,194.63153076171875,201.4544677734375
10,206.41445922851562,212.91770935058594
11,202.26654052734375,211.5404052734375
12,187.9790496826172,190.2224884033203
13,188.8255157470703,189.43267822265625
14,246.24322509765625,252.1860809326172
15,229.60198974609375,234.25784301757812
16,193.74420166015625,209.31845092773438
17,240.12608337402344,245.1475830078125
18,254.96737670898438,277.11822509765625
19,204.4659881591797,219.44680786132812
20,167.5293426513672,207.06130981445312
21,203.2401580810547,215.8143310546875
22,195.67274475097656,204.15423583984375
23,239.64547729492188,243.35531616210938
24,176.25083923339844,187.80015563964844
25,237.19857788085938,239.43919372558594
26,210.9562530517578,212.0904998779297
27,193.46192932128906,196.61154174804688
28,196.92532348632812,200.54940795898438
29,245.4705352783203,255.99293518066406
30,267.1357727050781,271.15277099609375
31,190.04002380371094,196.86302185058594
32,245.33282470703125,247.70199584960938
33,200.8914337158203,214.54505920410156
34,203.4122772216797,209.2310028076172
35,213.5525665283203,213.77835083007812
36,204.29971313476562,204.32223510742188
37,155.53781127929688,177.80577087402344
38,201.8466033935547,214.9815673828125
39,184.02378845214844,187.2443084716797
40,213.05996704101562,229.26925659179688
41,206.8748016357422,215.16143798828125
42,256.9697265625,260.4718017578125
43,235.08432006835938,241.94683837890625
44,192.47763061523438,196.33009338378906
45,175.54196166992188,178.0769805908203
46,214.58917236328125,221.5223388671875
47,244.04556274414062,248.0763702392578
48,298.844970703125,305.4162902832031
49,214.28131103515625,221.6811981201172
50,207.11865234375,215.6806182861328
51,195.64114379882812,198.97918701171875
52,227.29043579101562,227.92596435546875
53,207.5149383544922,210.58660888671875
54,214.72657775878906,222.94476318359375
55,211.2675323486328,212.9190673828125
56,206.34298706054688,206.8387451171875
57,197.95945739746094,203.8233184814453
58,188.44155883789062,196.7499542236328
59,202.5166473388672,205.96522521972656
60,233.2283935546875,239.3449249267578
61,187.2100067138672,207.07266235351562
62,226.33462524414062,229.19544982910156
63,249.1019287109375,251.40911865234375
64,184.84890747070312,198.73898315429688
65,224.0413818359375,228.7274627685547
66,193.2818603515625,193.74380493164062
67,219.74655151367188,223.47708129882812
68,231.5316619873047,234.49209594726562
69,216.6271514892578,224.86114501953125
70,189.14089965820312,191.92901611328125
71,237.89682006835938,240.3079833984375
72,196.2203369140625,201.11868286132812
73,210.75894165039062,212.61947631835938
74,201.59449768066406,210.18505859375
75,177.08819580078125,183.3277130126953
76,184.45504760742188,186.51100158691406
77,180.39004516601562,183.71835327148438
78,226.73751831054688,231.36866760253906
79,239.96646118164062,240.08474731445312
80,182.23077392578125,186.44674682617188
81,176.23692321777344,177.60414123535156
82,202.0286102294922,209.3518829345703
83,227.20364379882812,238.16368103027344
84,236.0056610107422,239.70486450195312
85,203.9948272705078,207.7153778076172
86,188.28945922851562,188.6931915283203
87,182.30657958984375,182.7100830078125
