,1,2,3,4
count,885.0,885.0,885.0,885.0
mean,206.24017641964812,214.23986537169174,217.9729626021623,220.80655968206705
std,29.004205089816544,27.5909987439594,27.332739811761616,27.286776167962305
min,120.5755386352539,144.3612060546875,146.06942749023438,152.25833129882812
25%,186.4921875,195.40570068359375,199.56393432617188,202.64874267578125
50%,204.29971313476562,212.0904998779297,216.0565185546875,219.49481201171875
75%,224.3472442626953,231.00656127929688,234.9788818359375,237.2352752685547
max,525.830810546875,532.6806640625,536.6065063476562,540.9183349609375
