,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
count,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
mean,206.24017641964812,214.23986537169174,217.9729626021623,220.80655968206705,222.92906939800594,224.62514115888007,226.00576794943123,227.2312235849363,228.31023134418064,229.2241248840516,230.10176264236392,230.88056840587245,231.5742927946856,232.2666932095159,232.90532124879087,233.50300980205748
std,29.004205089816544,27.5909987439594,27.332739811761616,27.286776167962305,27.202628425099352,27.220911891834394,27.297941079433798,27.377798960150347,27.410009273962164,27.461373346375602,27.490092035474515,27.538967029884855,27.580797821590796,27.6255152044865,27.64471353524791,27.66244261073785
min,120.5755386352539,144.3612060546875,146.06942749023438,152.25833129882812,153.3546142578125,154.9893341064453,155.130126953125,157.53237915039062,157.55862426757812,158.75140380859375,159.9250030517578,160.56097412109375,161.57481384277344,161.9586181640625,163.09371948242188,164.3878173828125
25%,186.4921875,195.40570068359375,199.56393432617188,202.64874267578125,204.36294555664062,206.1023406982422,207.45877075195312,209.09188842773438,209.9063720703125,210.85263061523438,211.50088500976562,212.09927368164062,212.8023223876953,213.8696746826172,214.766357421875,215.17990112304688
50%,204.29971313476562,212.0904998779297,216.0565185546875,219.49481201171875,221.61013793945312,224.01898193359375,225.39163208007812,226.59841918945312,227.4584503173828,228.3647918701172,229.58297729492188,230.68638610839844,231.79104614257812,232.36080932617188,233.24130249023438,233.67295837402344
75%,224.3472442626953,231.00656127929688,234.9788818359375,237.2352752685547,239.5614471435547,241.1015625,242.5421600341797,244.49676513671875,245.552490234375,246.96115112304688,247.6396484375,248.57284545898438,249.3666229248047,249.8229217529297,250.39418029785156,250.84954833984375
max,525.830810546875,532.6806640625,536.6065063476562,540.9183349609375,541.2807006835938,544.6756591796875,545.9633178710938,546.30517578125,546.3094482421875,546.422607421875,547.07275390625,547.3275756835938,547.8424072265625,548.596923828125,548.7703247070312,549.2551879882812
