,1
0,181.2568359375
1,191.736572265625
2,209.19163513183594
3,162.23712158203125
4,193.103271484375
5,204.16229248046875
6,180.6106414794922
7,266.24737548828125
8,230.61376953125
9,194.63153076171875
10,206.41445922851562
11,202.26654052734375
12,187.9790496826172
13,188.8255157470703
14,246.24322509765625
15,229.60198974609375
16,193.74420166015625
17,240.12608337402344
18,254.96737670898438
19,204.4659881591797
20,167.5293426513672
21,203.2401580810547
22,195.67274475097656
23,239.64547729492188
24,176.25083923339844
25,237.19857788085938
26,210.9562530517578
27,193.46192932128906
28,196.92532348632812
29,245.4705352783203
30,267.1357727050781
31,190.04002380371094
32,245.33282470703125
33,200.8914337158203
34,203.4122772216797
35,213.5525665283203
36,204.29971313476562
37,155.53781127929688
38,201.8466033935547
39,184.02378845214844
40,213.05996704101562
41,206.8748016357422
42,256.9697265625
43,235.08432006835938
44,192.47763061523438
45,175.54196166992188
46,214.58917236328125
47,244.04556274414062
48,298.844970703125
49,214.28131103515625
50,207.11865234375
51,195.64114379882812
52,227.29043579101562
53,207.5149383544922
54,214.72657775878906
55,211.2675323486328
56,206.34298706054688
57,197.95945739746094
58,188.44155883789062
59,202.5166473388672
60,233.2283935546875
61,187.2100067138672
62,226.33462524414062
63,249.1019287109375
64,184.84890747070312
65,224.0413818359375
66,193.2818603515625
67,219.74655151367188
68,231.5316619873047
69,216.6271514892578
70,189.14089965820312
71,237.89682006835938
72,196.2203369140625
73,210.75894165039062
74,201.59449768066406
75,177.08819580078125
76,184.45504760742188
77,180.39004516601562
78,226.73751831054688
79,239.96646118164062
80,182.23077392578125
81,176.23692321777344
82,202.0286102294922
83,227.20364379882812
84,236.0056610107422
85,203.9948272705078
86,188.28945922851562
87,182.30657958984375
88,224.62078857421875
89,207.02511596679688
90,221.32965087890625
91,231.89671325683594
92,182.64190673828125
93,188.8555145263672
94,216.95359802246094
95,233.5397186279297
96,185.2152099609375
97,231.26742553710938
98,235.0084991455078
99,140.75930786132812
100,203.2810821533203
101,163.47337341308594
102,204.4723358154297
103,214.23512268066406
104,239.00613403320312
105,198.57627868652344
106,147.4569091796875
107,193.864990234375
108,183.1005859375
109,216.39451599121094
110,207.0642852783203
111,198.0627899169922
112,223.11196899414062
113,199.386046381088
114,185.77296447753906
115,188.58221435546875
116,178.3021240234375
117,222.501953125
118,269.09954833984375
119,208.86990356445312
120,211.66859436035156
121,167.9940185546875
122,209.77700805664062
123,227.07476806640625
124,199.6336669921875
125,232.960205078125
126,209.28366088867188
127,206.4608154296875
128,193.30123901367188
129,195.177978515625
130,195.3194122314453
131,231.48020935058594
132,176.68533325195312
133,210.45005798339844
134,188.56271362304688
135,184.09002685546875
136,269.0398864746094
137,183.47720336914062
138,191.95936584472656
139,189.40499877929688
140,207.54727172851562
141,213.8688201904297
142,227.77935791015625
143,199.86932373046875
144,246.2024688720703
145,182.41563415527344
146,207.9345703125
147,220.2261962890625
148,205.48370361328125
149,211.41534423828125
150,199.73599243164062
151,219.61819458007812
152,165.2084503173828
153,201.7166748046875
154,218.0677490234375
155,200.46322631835938
156,197.85049438476562
157,146.08956909179688
158,219.39825439453125
159,200.20663452148438
160,212.072265625
161,180.757080078125
162,210.68629455566406
163,203.62051391601562
164,258.8090515136719
165,212.5164031982422
166,187.8419189453125
167,198.8807373046875
168,189.19296264648438
169,169.64682006835938
170,219.90647888183594
171,189.32493591308594
172,194.79983520507812
173,168.79412841796875
174,206.04510498046875
175,229.46998596191406
176,200.825439453125
177,226.81512451171875
178,232.43667602539062
179,222.3617401123047
180,198.77960205078125
181,221.54638671875
182,240.5355682373047
183,193.96810913085938
184,184.77273559570312
185,211.49591064453125
186,221.75747680664062
187,214.44920349121094
188,248.2803192138672
189,179.8838653564453
190,213.4636215771266
191,221.0961456298828
192,184.84194946289062
193,225.4616241455078
194,231.647216796875
195,175.39993286132812
196,180.89263916015625
197,210.94387817382812
198,223.69261169433594
199,165.8577423095703
200,176.52587890625
201,226.80917358398438
202,201.404541015625
203,224.3472442626953
204,207.3634033203125
205,197.05557250976562
206,206.783203125
207,253.11769104003906
208,233.4088134765625
209,252.8883056640625
210,178.36257934570312
211,178.31190490722656
212,201.67103576660156
213,259.873046875
214,179.81005859375
215,215.54905700683594
216,186.93316650390625
217,244.12408447265625
218,227.1623992919922
219,210.2010955810547
220,225.0263671875
221,200.55001831054688
222,238.01382446289062
223,230.06686401367188
224,206.95492553710938
225,241.80996704101562
226,181.23883056640625
227,218.86956787109375
228,222.38699340820312
229,195.2643585205078
230,204.35693359375
231,181.97396850585938
232,203.51133728027344
233,230.46499633789062
234,140.88336181640625
235,208.24908447265625
236,187.26531982421875
237,206.37991333007812
238,216.79303265724784
239,174.5312957763672
240,172.12130737304688
241,216.1353759765625
242,190.27053833007812
243,181.88967895507812
