,1,2
count,885.0,885.0
mean,206.24017641964812,214.23986537169174
std,29.004205089816544,27.5909987439594
min,120.5755386352539,144.3612060546875
25%,186.4921875,195.40570068359375
50%,204.29971313476562,212.0904998779297
75%,224.3472442626953,231.00656127929688
max,525.830810546875,532.6806640625
